todofuken,shikuchoson,lat,lon,code,geog
北海道,札幌市,0,0,01100,SRID=4326;POINT(0 0)
宮城県,仙台市,0,0,04100,SRID=4326;POINT(0 0)
埼玉県,さいたま市,0,0,11100,SRID=4326;POINT(0 0)
千葉県,千葉市,0,0,12100,SRID=4326;POINT(0 0)
神奈川県,横浜市,0,0,14100,SRID=4326;POINT(0 0)
神奈川県,川崎市,0,0,14130,SRID=4326;POINT(0 0)
神奈川県,相模原市,0,0,14150,SRID=4326;POINT(0 0)
新潟県,新潟市,0,0,15100,SRID=4326;POINT(0 0)
静岡県,静岡市,0,0,22100,SRID=4326;POINT(0 0)
静岡県,浜松市,0,0,22130,SRID=4326;POINT(0 0)
愛知県,名古屋市,0,0,23100,SRID=4326;POINT(0 0)
京都府,京都市,0,0,26100,SRID=4326;POINT(0 0)
大阪府,大阪市,0,0,27100,SRID=4326;POINT(0 0)
大阪府,堺市,0,0,27140,SRID=4326;POINT(0 0)
兵庫県,神戸市,0,0,28100,SRID=4326;POINT(0 0)
岡山県,岡山市,0,0,33100,SRID=4326;POINT(0 0)
広島県,広島市,0,0,34100,SRID=4326;POINT(0 0)
福岡県,北九州市,0,0,40100,SRID=4326;POINT(0 0)
福岡県,福岡市,0,0,40130,SRID=4326;POINT(0 0)
熊本県,熊本市,0,0,43100,SRID=4326;POINT(0 0)